CreatureName,DamageName
Allip,Cold
Allip,Necrotic
Allip,Poison
Solar,Necrotic
Solar,Poison
Animated Object - Armor,Psychic
Animated Object - Armor,Poison
Animated Object - Broom of Attack,Psychic
Animated Object - Broom of Attack,Poison
Animated Object - Flying Sword,Poison
Animated Object - Rug of Smothering,Psychic
Animated Object - Rug of Smothering,Poison
Animated Object - Table,Psychic
Atropal,Cold
Atropal,Necrotic
Atropal,Bludgeoning
Atropal,Piercing
Atropal,Slashing
Avatar of Death,Poison
Azer,Poison
Baba Lysagas Creeping Hut,Psychic
Banshee,Cold
Banshee,Necrotic
Banshee,Poison
Barghest,Acid
Barghest,Poison
Basilisk,Fire
Basilisk,Poison
Beholder,Fire
Beholder,Poison
Bodak,Lightning
Bodak,Poison
Cadaver Collector,Poison
Cadaver Collector,Psychic
Cadaver Collector,Bludgeoning
Cadaver Collector,Piercing
Cadaver Collector,Slashing
Centaur Mummy,Necrotic
Centaur Mummy,Poison
Bronze Scout,Bludgeoning
Bronze Scout,Piercing
Bronze Scout,Slashing
Iron Cobra,Bludgeoning
Iron Cobra,Piercing
Iron Cobra,Slashing
Oaken Bolter,Bludgeoning
Oaken Bolter,Piercing
Oaken Bolter,Slashing
Stone Defender,Bludgeoning
Stone Defender,Piercing
Stone Defender,Slashing
Couatl,Psychic
Couatl,Bludgeoning
Couatl,Piercing
Couatl,Slashing
Death Knight,Poison
Deathlock,Poison
Deathlock Mastermind,Poison
Deathlock Wight,Poison
Demilich,Necrotic
Demilich,Poison
Demilich,Psychic
Demilich,Bludgeoning
Demilich,Piercing
Demilich,Slashing
Baphomet,Poison
Baphomet,Bludgeoning
Baphomet,Piercing
Baphomet,Slashing
Demogorgon,Poison
Demogorgon,Bludgeoning
Demogorgon,Piercing
Demogorgon,Slashing
Fraz-UrbLuu,Poison
Fraz-UrbLuu,Bludgeoning
Fraz-UrbLuu,Piercing
Fraz-UrbLuu,Slashing
GrazZt,Poison
GrazZt,Bludgeoning
GrazZt,Piercing
GrazZt,Slashing
Juiblex,Poison
Juiblex,Bludgeoning
Juiblex,Piercing
Juiblex,Slashing
Orcus,Necrotic
Orcus,Poison
Orcus,Bludgeoning
Orcus,Piercing
Orcus,Slashing
Yeenoghu,Poison
Yeenoghu,Bludgeoning
Yeenoghu,Piercing
Yeenoghu,Slashing
Zuggtmoy,Poison
Zuggtmoy,Bludgeoning
Zuggtmoy,Piercing
Zuggtmoy,Slashing
Abyssal Wretch,Poison
Alkilith,Poison
Armanite,Poison
Babau,Poison
Balor,Fire
Balor,Poison
Barlgura,Poison
Bulezau,Poison
Chasme,Poison
Draegloth,Poison
Dretch,Poison
Dybbuk,Poison
Glabrezu,Poison
Goristro,Poison
Hezrou,Poison
Manes,Poison
Marilith,Poison
Maurezhi,Poison
Maw,Poison
Molydeus,Poison
Nabassu,Poison
Nalfeshnee,Poison
Quasit,Poison
Rutterkin,Poison
Shadow Demon,Cold
Shadow Demon,Lightning
Shadow Demon,Poison
Shoosuva,Poison
Sibriex,Poison
Vrock,Poison
Yochlol,Poison
Black Abishai,Acid
Black Abishai,Fire
Black Abishai,Poison
Blue Abishai,Fire
Blue Abishai,Poison
Green Abishai,Fire
Red Abishai,Fire
Red Abishai,Poison
White Abishai,Cold
White Abishai,Fire
White Abishai,Poison
Amnizu,Fire
Amnizu,Poison
Bael,Fire
Bael,Poison
Geryon,Cold
Geryon,Fire
Geryon,Poison
Hutijin,Fire
Hutijin,Poison
Moloch,Fire
Moloch,Poison
Titivilus,Fire
Titivilus,Poison
Zariel,Necrotic
Zariel,Poison
Barbed,Fire
Barbed,Poison
Bearded,Fire
Bearded,Poison
Bone,Fire
Bone,Poison
Chain,Fire
Chain,Poison
Erinyes,Fire
Erinyes,Poison
Hellfire Engine,Fire
Hellfire Engine,Poison
Horned,Fire
Horned,Poison
Ice,Cold
Ice,Fire
Ice,Poison
Imp,Fire
Imp,Poison
Lemure,Fire
Lemure,Poison
Merregon,Fire
Merregon,Poison
Narzugon,Fire
Narzugon,Poison
Nupperibo,Fire
Nupperibo,Poison
Orthon,Fire
Orthon,Poison
Spined,Fire
Spined,Poison
Devourer,Poison
Eidolon,Cold
Eidolon,Necrotic
Eidolon,Poison
Sacred Statue,Cold
Sacred Statue,Necrotic
Sacred Statue,Poison
Elder Elemental Tempest,Lightning
Elder Elemental Tempest,Poison
Elder Elemental Tempest,Thunder
Elder Elemental Leviathan,Acid
Elder Elemental Leviathan,Poison
