CreatureName,DamageName
Atropal,Radiant
Awakened Zurkhwood,Fire
Twig Blight,Fire
Centaur Mummy,Fire
Shadow Demon,Radiant
Elder Elemental Zaratan,Thunder
Earth Elemental,Thunder
Flumph,Psychic
Dust Mephit,Fire
Ice Mephit,Bludgeoning
Ice Mephit,Fire
Magma Mephit,Cold
Awakened Shrub,Fire
Awakened Tree,Fire
Mummy,Fire
Mummy Lord,Fire
Rakshasa,Piercing
Salamander,Cold
Fire Snake,Cold
Frost Salamander,Fire
Scarecrow,Fire
Shadow,Radiant
Skeleton,Bludgeoning
Giant Skeleton,Bludgeoning
Minotaur Skeleton,Bludgeoning
Warhorse Skeleton,Bludgeoning
Slithering Tracker,Cold
Slithering Tracker,Fire
Stone Cursed,Bludgeoning
Treant,Fire
Wood Woad,Fire
Hydroloth,Fire
